ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15
3.1401448240503385,2.7272293908400966,-0.8959280541502903,-1.2537575777563572,-1.843832958474763,-2.030453643920486,-2.5236327570526003,-2.8080652653688944,2.272503599647738,2.0088236777751227,1.4518608798381738,1.0819765449890877,0.8567499450562285,0.25950271461096347,-0.18805122685453535,-0.3816911694797376
2.9964026444183918,2.817258993794288,-0.9821428434199824,-1.4615886272878982,-1.6558389401026203,-2.268192832738504,-2.427652044750589,-2.8033348964001146,2.3791657902663483,2.03751107668256,1.4121868175193775,1.2063394711037763,0.7523766426483182,0.22791605730330639,-0.03362756890598956,-0.3957296838386962
3.01410337991447,2.7829256706337913,-0.9961813577789409,-1.4359530793280606,-1.868705543697701,-2.0518166005536838,-2.497386838903243,-2.7397038041426605,2.2285569460023025,1.8771363093861946,1.6722045182548735,1.0838076555576477,0.7798433011767156,0.27705085755966186,-0.19888529771851438,-0.5672437070938005
3.1192396450592805,2.742793830672855,-1.018002092054279,-1.2645916486203364,-1.8351351832741039,-2.0768417783240016,-2.5878742194995747,-2.9302918958202633,2.3755035691292288,1.9351214773905894,1.6934148823406916,1.177957257291099,0.6078715002794715,0.32191306648937773,-0.19491789148663474,-0.6662762703434113
2.9857211661017926,2.6726012588780614,-0.9072199026564092,-1.397652349935684,-1.6196745063735636,-2.1027825113785994,-2.3612742866402954,-2.766407499934158,2.3019539612920754,1.938173328338189,1.4811586489351312,1.2193098376310751,0.6045144642371117,0.28056048614940154,-0.14151049990363962,-0.4367770790839125
3.12198631091212,2.743251608314995,-1.0143398709171594,-1.410927901557743,-1.811178153335446,-2.115447692811138,-2.5994712531004533,-2.780293421745737,2.4040383754892862,1.8682859416381554,1.472460873734472,1.1427083788463221,0.8242477324642915,0.4116374843488095,0.020390192866525478,-0.45844522081187045
2.959475247952435,2.758205677958234,-1.094450958291652,-1.4675397366357177,-1.8355929609162438,-2.290623937203362,-2.6168668035017717,-2.8076074877267545,2.380844308287528,2.001651828048263,1.524342339843667,1.1253128284450038,0.5955115039416925,0.15131459851855342,-0.18408382062265571,-0.6101222129075765
3.1387714911239186,2.7913182607396907,-1.0192228324333188,-1.3808671697238857,-1.868247766055561,-2.0556314142381837,-2.472209068585545,-2.8497230308036303,2.320417659525054,2.0451407040515592,1.4001320062763585,1.0233810067951732,0.808530700084153,0.2515679021472042,-0.07620088962500565,-0.6311799844460145
2.9988441251764715,2.623771643716466,-0.8890613895181909,-1.4771530671206567,-1.7463263206989519,-2.151612126540195,-2.4816698065231044,-2.736194175552921,2.2882206320278766,2.0742858806011366,1.557607515172504,1.0104106402678745,0.8019692205468135,0.417130816054489,-0.035763864569309356,-0.6851977462185296
3.162881113609956,2.6822145893630007,-0.8464880687991748,-1.3576731025221278,-1.681321895515078,-2.1972372982068107,-2.431161673340329,-2.9878192861825177,2.2143658390959637,1.970675540930126,1.536397151086686,1.014530639047134,0.6516655613775274,0.24332790458868497,-0.11419643392262213,-0.4215178243459139
